id,name,host_name,neighbourhood,floor,price,footage,avgreview
1,LIVE BROOKLYN! Private 1 BR APT - 5 min to Subway,David,Bedford-Stuyvesant,1,199.5439521,288,2.06
2,NYC cozy room in Upper East Side,Tom,Upper East Side,16,520.4401507,261,4.85
3,College Students see New York !,Miriam,Cambria Heights,5,255.8880452,715,2.54
4,Serene & clean stay in a luxury building,Kat,East Harlem,16,250.3317683,254,3.56
5,HEART of MANHATTAN,Lara,Hell's Kitchen,16,530.3931117,561,3.68
6,Chic entire downstairs in 3br duplex,Sara,Ridgewood,5,267.1388704,257,2.56
7,JUST 4.4 MILES FROM MANHATTAN NEAR TRAIN,Carlos,Middle Village,5,161.4736494,392,3.22
8,Modern East Village Apt - Available Last Minute,Adam,East Village,1,284.9533947,822,4.17
9,A room for rest before you wander,Rebecca,Crown Heights,1,196.0580412,383,1.73
10,Charming Apartment near Empire State Building,Cezar,Murray Hill,16,538.1607577,296,3.41
11,Cozy Bushwick room with lots of natural light,Gareth,Bushwick,1,90.22128421,222,4.16
12,Luxury 3 Double-Bed Park Slope Apt Steps from Park,Kate,Park Slope,1,196.7777292,273,1.88
13,Quiet Private Bedroom in the heart of Little Italy,Sheba,Little Italy,1,147.4138773,470,2.5
14,GREAT STUDIO IN HEART OF EAST VILLAGE!,Tom,East Village,1,287.310175,515,3.41
15,Spacious 2 bedroom near Central Park,Dayane,Upper East Side,1,139.1780561,398,3.51
16,Manhattan Luxury 1-BDRM w/ Terrace; 24hr Doorman,Roxanne,Harlem,1,264.5608659,185,2.51
17,Awesome Studio in Chelsea,Julian,Chelsea,1,288.0992127,280,2.84
18,Nest,Adriana,Washington Heights,1,259.5696875,446,3.02
19,Manhattan NY Luxurious Hotel,Dez,Midtown,16,531.3009752,209,3.1
20,Charming Photo Set & Studio Loft,Blake,Williamsburg,1,200.6158062,447,4.84
21,Luxury studio close to central park,Jasmine,Hell's Kitchen,16,527.6044316,328,2.59
22,Private Bedstuy Bedroom,Richard,Bedford-Stuyvesant,1,95.12901077,444,3.74
23,Beautiful spacious duplex in Bed Stuy Brooklyn,Tonie,Bedford-Stuyvesant,1,198.5704597,261,4.44
24,Luxury Apartment in Manhattan,Robert,Upper West Side,1,278.0852629,436,4.83
25,Sunny one bedroom blocks from park and trains,Jaclyn,Prospect-Lefferts Gardens,1,193.9688377,276,3.83
26,Midtown Manhattan steps from 5thAve,Yvonne,Midtown,1,282.796156,538,3.75
27,"BIG, COMFY, PRIV. room, Big apt, yard, Will-B dplx",M,Williamsburg,1,203.2031666,858,4.34
28,Comfortable private bedroom in Apartment,Renee,Bedford-Stuyvesant,1,92.81863656,282,3.43
29,Parlor apt 1 block from Times Sq,Mike,Hell's Kitchen,1,283.8811414,341,3.51
30,Brooklyn Room with 2 Chill Guys,Angelo,Bushwick,1,93.27862219,225,4.4
31,Room rent for close to Manhattan,Sandra,Astoria,5,85.44234608,285,3.67
32,Sunny beautiful large bedroom in Williamsburg,Luis,Williamsburg,1,203.5376288,204,4.02
33,1 BR High End Renovations & Design,Corporate Housing,Kips Bay,16,537.8482968,385,3.79
34,Lincoln Center Luxury Sunny & Modern Br,Marcela,Upper West Side,16,258.159544,564,2.94
35,1BR UNFURN SUBLET in Williamsburg,Benjamin,Williamsburg,1,202.7177886,255,2.84
36,"Spacious 1BD, City View, Near Train",Daniel,Astoria,20,518.7759176,242,3.12
37,Spacious Sunny Balcony Room in Williamsburg,Mark,Williamsburg,16,523.5199543,866,4.41
38,1 bedroom in nyc,Denetrias,Hell's Kitchen,1,283.0228928,415,3.62
39,Cozy Room 4 stops from 5 avenue,Verena,Astoria,5,92.81863656,392,4.8
40,Luxury Hudson yards apartment on the High line,Irina,Chelsea,17,533.6894857,156,3.76
41,"Village Life, 2-Bedroom, East Village",Sascha,East Village,1,147.3389696,689,3.14
42,1 Bedroom Apartment on tree-lined street,Jeffrey,Harlem,16,515.3132349,313,4.47
43,Chic + Stylish room in heart of LowerEastSide NYC!,Juliana,Lower East Side,16,264.0410497,314,4.01
44,Room in Hell's Kitchen luxury building,Adam,Hell's Kitchen,1,142.5498183,644,3.45
45,"Bright East Village 1BR w/ Balcony, Doorman + Gym by Blueground",Blueground,East Village,16,535.5152551,334,2.79
46,"Bright, sunny, cozy, convenient Williamsburg 1-BR",Nicholas,Williamsburg,1,207.4537583,633,3.05
47,Chic & Sleek Mid-Century Styled Apt,Nina,Crown Heights,1,194.8473685,386,2.89
48,UWS Charming 1 bedroom + loft,Larysa,Upper West Side,1,277.5409958,377,3.23
49,Beautiful Large Private Room-Great location,Blanca,Clinton Hill,1,94.61604073,529,3.94
50,"Sunny, Spacious 1BR in BoCoCa",P,Cobble Hill,1,203.2444882,413,2.33
51,Charming and Quiet West Village Studio,Thomas,West Village,16,536.3570059,216,3.4
52,Cosy Large Bedroom Park Slope,Nat,Park Slope,1,92.1642591,386,3.27
53,3rd floor Master Suite,Patricia,Bushwick,1,90.3428451,229,3.82
54,Upper East Side 1 Bedroom Near MSK,Kara,Upper East Side,1,280.6198622,312,2.54
55,Lovely and spacious 2BR/2 bath apt,Cedrick,Harlem,1,266.5601252,295,4.73
56,Center Located OneBedroom CloseTo LGA Train7/E/F,Yu Qun,Elmhurst,5,162.0505725,282,3.85
57,A Room in a 3BR Bushwick Apartment,Bill,Bushwick,1,93.12243912,513,3.94
58,Private Bushwick Bedroom Madison 3L-1,Nina,Bedford-Stuyvesant,1,91.72543365,275,3.51
59,Private BDR/BATH in Luxury Condo near Times Square,Ashley,Hell's Kitchen,16,263.6737267,614,3.77
60,Light Filled 1BDRM in Clinton Hill,Lauren,Bedford-Stuyvesant,1,198.8754899,468,2.58
61,Beautiful 3 BR-2 BA duplex with deck in Park Slope,Gisele,Windsor Terrace,1,195.0127505,255,2.99
62,"Hell's Kitchen, the ❤️ of the city!",Caroline,Hell's Kitchen,16,262.0920576,155,3.63
63,Private room in shared 2BR,Micky,Washington Heights,16,243.8159706,502,4.17
64,"1BR near Mt Sinai, Columbia, Cent Pk. Must See!",Zach,East Harlem,16,249.1005085,464,2.94
65,Spacious studio close to Manhatten,Michael,Sunnyside,5,169.8123328,459,3.65
66,"Modern and fun 2 bdrm in Williamsburg, Brooklyn",Gali,Williamsburg,1,209.0023913,246,3.16
67,Comfortable room in FIDI,Pierre,Two Bridges,1,145.6449827,281,2.59
68,Chic Bohemian 1 br in the heart of West Village,Daniel,West Village,1,286.1849218,328,4.32
69,Charming West Village Full Bed Apt,Lauren,Greenwich Village,1,148.422192,399,3.1
70,"Big, Private, Hip 2BR in Williamsburg w/Terrace",Redford,Williamsburg,1,206.5761323,283,3.38
71,Studio Apartment in Upper East Side,Jing,Upper East Side,16,521.8063673,634,3.08
72,Midtown Luxury Living room close to Highline,Chen,Chelsea,16,262.6230122,270,3.28
73,Nice Room in private house,Herman,Richmond Hill,5,125.2339972,390,2.49
74,"Spacious 1 bed in the heart of Bed-Stuy, Brooklyn!",Christopher,Bedford-Stuyvesant,1,200.0982269,491,3.55
75,Large bedroom in the heart of the East Village,Nicholas,East Village,1,148.422192,163,2.72
76,Large quite apartment across from beautiful park,Mordechai,Morningside Heights,16,516.0632122,278,3.14
77,Bright Private Apt in Ideal Location Manhattan,Taylor,Gramercy,16,538.1607577,223,3.62
78,EAST VILLAGE Apt. (ABC City) w/awesome Roof Deck,Zack,East Village,1,146.9698591,403,4.67
79,Spacious West Harlem Studio!,Anne,Harlem,16,512.5627251,916,2.9
80,Get cozy on a historic Brooklyn St,Erin,Bedford-Stuyvesant,1,90.80215819,250,2.84
81,Charming exposed brick apartment,Dipak,Lower East Side,1,284.7001019,202,3.34
82,Manhattan Mid-town Time Square Cozy Bedroom,槟利,Hell's Kitchen,16,260.7863603,339,4.37
83,"Charming, Spacious Apartment on theUpper East Side",Kristen,Upper East Side,1,274.239109,577,3.89
84,Modern/Sunny Apt Close to Train!,Alyson,Bushwick,1,196.2059714,788,2.49
85,1BED 1 BATH /UPPER WEST SIDE /Lincoln Center,Emily,Upper West Side,1,277.0684226,347,2.15
86,The Wild Wild West (village),Nina,West Village,16,535.8847018,499,3.75
87,"Private home, quiet Brooklyn street",Hetty,Kensington,16,513.1266555,260,3.98
88,Beautiful Room + Private Bath Same St As Subway!,Marcelo,Bedford-Stuyvesant,1,89.01261121,191,2.41
89,Beautiful Apt in the Heart of the Upper East Side,Alexandra,Upper East Side,16,522.2500089,269,3.56
90,"Cute, Comfy & Cozy Room in Brooklyn",Alicia,Bedford-Stuyvesant,1,92.44397625,304,2.39
91,Spacious zen apartment. Close to King's hwy stop.,Ekaterina,Midwood,1,188.7950953,167,2.74
92,Beautiful apartment in prime Soho NYC,Andrea,Greenwich Village,1,286.9275512,162,3.54
93,Stunning Brooklyn Suite,Anthony,Canarsie,1,188.7225551,218,3.44
