"name","host_name","neighbourhood","floor","price","footage","avgreview","Deal"
"Spacious, sunny duplex in Fort Greene, Brooklyn","Jacob","Fort Greene",1,203.58007,239,3.43,"Neutral"
"Wyndham Midtown 45 @ NYC","Jennifer","Midtown",16,264.2657755,363,4.85,"Neutral"
"Spacious Apt in Bushwick","Daniel","Bushwick",16,250.2644747,379,2.24,"Neutral"
"BRIGHT & QUIET BEDROOM IN CLINTON HILL BROWNSTONE","Lea","Clinton Hill",1,94.64233382,226,3.3,"Neutral"
"Large 1 Bedroom in Astoria/Long Island City!","Andrea","Astoria",5,86.77747053,192,2.1,"Bad"
"3 Cozy Zen Rooms In Beautiful Apt.","Nikki","Bedford-Stuyvesant",1,94.28103753,275,2.38,"Neutral"
"Tree-lined block+Roof+private rooms","Joshua","Crown Heights",1,132.8848698,318,1.6,"Neutral"
"Cozy Private Room w/ 1 Queen Bed","Shirley","Flushing",5,78.77999938,305,2.64,"Neutral"
"Deluxe Brooklyn Loft","Henry Norman","Greenpoint",1,206.3126193,354,2.97,"Neutral"
"Summer home for families with baby + toddler","Miguel","Chelsea",16,537.237908,541,2.24,"Bad"
"Luxury Studio in Battery Park NYC","Karl","Financial District",1,280.489109,316,4.82,"Bad"
"2 minutes to subway Room with Terrace  and sofa","Matsuko","Elmhurst",5,81.70281337,414,4.49,"Good"
"City Retrieve3. Twin bed, lovely, simple","Jana","Harlem",16,245.1487921,744,2.77,"Neutral"
"Perfect 2 bedroom in Brooklyn","Dragica","Crown Heights",1,198.2214439,561,3.04,"Neutral"
"Luxury Apartment Central Park - Hell’s Kitchen","Kadu","Hell's Kitchen",16,529.5341187,266,4.19,"Bad"
"Experiencing Tranquility in Private home, Room # 3","Bruce & Cyrina","East Flatbush",1,88.1388324,344,2.93,"Good"
"Lovely Studio in Astoria","Inga","Ditmars Steinway",5,267.621462,625,4.36,"Neutral"
"HEART OF NYC! Sunny furn 1 br wifi","Dawn","Gramercy",16,537.6427089,222,3.4,"Bad"
"Private Clinton Hill, Brooklyn Apt","Aaron","Clinton Hill",1,199.131983,289,3.84,"Neutral"
"Luxurious Penthouse Mid Manhattan, next to Times S","Orjan","Hell's Kitchen",16,531.3009752,337,4.08,"Bad"
"Brooklyn Apartment","Amparo","Bedford-Stuyvesant",1,91.63327061,637,1.77,"Good"
"NYC Room Sublet, Private Space, Air conditioner","Wonkyung","Harlem",1,129.2020697,235,3.29,"Neutral"
"Penthouse With Private Roof Deck","Patrick","East Village",16,536.3570059,330,3.6,"Bad"
"Comfy bedroom, heart of Crown Heights","Craig","Crown Heights",1,91.20598105,547,4.55,"Good"
"Private, Cozy Manhattan Bedroom","Dina","Harlem",1,128.8655973,419,3.83,"Good"
"Modern, Cozy Apt Share for Young Professionals","Ollie","Bedford-Stuyvesant",1,93.32378645,477,3.34,"Good"
"Bluebird Lavish 1-BR Apt 1 Mile from Times Square!","Bluebird","Hell's Kitchen",2,282.206142,249,3.75,"Neutral"
"Updated 1 bedroom heart of Chelsea","Whitney","Chelsea",16,536.1666603,186,3.13,"Bad"
"Brooklyn room 4mins to 2,5,3,4 trains to Manhattan","Sasha","East Flatbush",1,88.33721991,386,3.76,"Good"
"Manhattan Sights & Sound (Ladies Only)","Carly","Kips Bay",16,266.6220279,203,3.83,"Neutral"
"Penthouse with huge deck and city views","Vicky And Nektarios","Greenpoint",1,209.6427848,330,2.96,"Good"
"Brooklyn Living","Remi","Crown Heights",1,90.62439248,275,3.04,"Neutral"
"Cozy Studio on McGolrick Park","Bernice","Greenpoint",16,525.9005215,719,2.83,"Neutral"
"Private RM 15min from the Manhattan","Edward","Astoria",5,92.10559183,378,4.47,"Good"
"Huge, Sunny Greenpoint Flat","Eric","Greenpoint",1,279.4201955,357,3.01,"Neutral"
"Nice Bedroom B in Bushwick","Jay","Bedford-Stuyvesant",1,88.9502979,458,2.59,"Good"
"IN MINT CONDITION-STUDIOS EAST 44TH/UNITED NATIONS","Rated","Midtown",16,535.3332549,316,3.05,"Bad"
