"id","Deal"
1350,"Neutral"
18962,"Good"
5029,"Neutral"
24234,"Neutral"
18037,"Neutral"
18458,"Good"
11186,"Good"
24181,"Good"
16652,"Neutral"
6768,"Neutral"
8321,"Bad"
1388,"Good"
10315,"Bad"
14669,"Bad"
6501,"Bad"
18144,"Neutral"
1550,"Neutral"
24871,"Neutral"
11844,"Good"
16816,"Neutral"
11096,"Neutral"
6852,"Bad"
4130,"Neutral"
12095,"Good"
6048,"Bad"
5300,"Neutral"
20885,"Neutral"
17721,"Neutral"
22234,"Neutral"
11870,"Bad"
11875,"Good"
7674,"Neutral"
12858,"Bad"
1068,"Neutral"
436,"Bad"
9467,"Neutral"
7248,"Neutral"
17648,"Good"
795,"Neutral"
13951,"Good"
7843,"Bad"
2394,"Bad"
10929,"Good"
24895,"Bad"
3260,"Good"
11835,"Good"
15719,"Neutral"
24705,"Bad"
14169,"Good"
23972,"Neutral"
784,"Bad"
14975,"Bad"
407,"Neutral"
6797,"Good"
16559,"Neutral"
7706,"Neutral"
18584,"Neutral"
6365,"Neutral"
19347,"Bad"
19731,"Good"
21458,"Neutral"
11352,"Neutral"
8434,"Neutral"
1095,"Neutral"
8064,"Bad"
9522,"Neutral"
15226,"Good"
23119,"Bad"
5391,"Neutral"
24940,"Neutral"
17662,"Neutral"
10035,"Neutral"
8255,"Neutral"
20094,"Neutral"
19031,"Neutral"
12220,"Bad"
1871,"Neutral"
6076,"Neutral"
11712,"Bad"
6845,"Bad"
23128,"Bad"
14007,"Neutral"
23400,"Neutral"
19560,"Good"
5134,"Neutral"
19194,"Bad"
11861,"Neutral"
17374,"Bad"
21918,"Neutral"
8332,"Bad"
17302,"Neutral"
7973,"Neutral"
4058,"Neutral"
17415,"Neutral"
10642,"Bad"
23934,"Good"
17321,"Bad"
15138,"Good"
3226,"Neutral"
11624,"Neutral"
21209,"Neutral"
7648,"Neutral"
24592,"Bad"
5817,"Bad"
9673,"Good"
2597,"Neutral"
18027,"Bad"
9840,"Neutral"
2624,"Neutral"
12426,"Bad"
23326,"Bad"
3439,"Neutral"
8578,"Good"
6925,"Good"
11983,"Neutral"
7164,"Neutral"
10494,"Bad"
5634,"Neutral"
19919,"Good"
22186,"Neutral"
11345,"Good"
23122,"Neutral"
2017,"Neutral"
20484,"Bad"
2254,"Neutral"
9880,"Neutral"
22425,"Bad"
7769,"Bad"
14750,"Bad"
9427,"Neutral"
19430,"Neutral"
23132,"Good"
5273,"Neutral"
16034,"Neutral"
12917,"Neutral"
16930,"Bad"
5424,"Neutral"
13121,"Neutral"
9056,"Good"
17290,"Bad"
402,"Neutral"
16227,"Bad"
12636,"Neutral"
3043,"Neutral"
6190,"Neutral"
17083,"Neutral"
14828,"Neutral"
6368,"Bad"
7000,"Neutral"
2256,"Neutral"
18659,"Bad"
21617,"Neutral"
20597,"Neutral"
674,"Bad"
12511,"Bad"
22462,"Neutral"
2422,"Neutral"
734,"Bad"
7462,"Bad"
2305,"Bad"
1173,"Neutral"
4784,"Good"
3397,"Bad"
15955,"Neutral"
25093,"Neutral"
7205,"Bad"
21902,"Neutral"
14404,"Good"
1978,"Neutral"
14577,"Neutral"
5215,"Bad"
21451,"Neutral"
18956,"Good"
25031,"Neutral"
23608,"Bad"
17370,"Good"
22766,"Neutral"
2713,"Neutral"
14402,"Bad"
24807,"Neutral"
3555,"Neutral"
21324,"Neutral"
11530,"Bad"
11868,"Neutral"
24256,"Neutral"
2504,"Neutral"
15749,"Bad"
25154,"Bad"
128,"Neutral"
22060,"Bad"
19503,"Good"
12062,"Good"
2995,"Neutral"
21082,"Neutral"
39,"Good"
36,"Bad"
15539,"Neutral"
13721,"Good"
14058,"Good"
22070,"Bad"
25019,"Neutral"
24369,"Neutral"
20971,"Neutral"
1410,"Good"
6938,"Bad"
3301,"Neutral"
2590,"Neutral"
18365,"Bad"
7191,"Good"
9387,"Neutral"
12715,"Good"
22828,"Good"
10805,"Bad"
19690,"Neutral"
20493,"Neutral"
12843,"Bad"
743,"Good"
392,"Good"
21365,"Neutral"
24118,"Good"
11608,"Good"
15617,"Bad"
22780,"Good"
1327,"Neutral"
7899,"Good"
16158,"Neutral"
6557,"Good"
17120,"Good"
15665,"Good"
1534,"Neutral"
2911,"Good"
23077,"Bad"
647,"Good"
13876,"Bad"
21901,"Neutral"
20562,"Neutral"
22635,"Neutral"
17363,"Good"
7157,"Neutral"
13974,"Bad"
5821,"Neutral"
12152,"Neutral"
5343,"Good"
14467,"Good"
10622,"Good"
9978,"Neutral"
21766,"Neutral"
3298,"Bad"
10834,"Neutral"
23587,"Bad"
10848,"Neutral"
15631,"Neutral"
2545,"Neutral"
2272,"Neutral"
13633,"Neutral"
11913,"Good"
21574,"Bad"
14400,"Good"
19097,"Good"
12981,"Good"
1600,"Bad"
9300,"Neutral"
1643,"Neutral"
1279,"Bad"
4115,"Neutral"
326,"Bad"
11044,"Neutral"
2300,"Neutral"
16715,"Good"
22912,"Bad"
13437,"Good"
8421,"Bad"
24456,"Bad"
24204,"Bad"
18016,"Neutral"
5252,"Neutral"
3794,"Neutral"
17653,"Bad"
4972,"Neutral"
12879,"Bad"
14821,"Neutral"
6642,"Good"
15880,"Bad"
2802,"Neutral"
22524,"Bad"
12041,"Neutral"
14834,"Good"
8520,"Neutral"
16419,"Neutral"
23949,"Bad"
11926,"Good"
6351,"Good"
21279,"Good"
12744,"Bad"
5084,"Neutral"
21492,"Neutral"
2533,"Neutral"
21729,"Good"
12334,"Neutral"
22622,"Neutral"
12450,"Neutral"
16259,"Neutral"
22052,"Neutral"
25172,"Good"
15579,"Neutral"
20280,"Bad"
3149,"Good"
4243,"Neutral"
15541,"Neutral"
13598,"Neutral"
31,"Neutral"
1611,"Good"
10360,"Good"
637,"Bad"
24080,"Good"
19708,"Bad"
18978,"Bad"
17519,"Bad"
18728,"Bad"
22922,"Neutral"
11257,"Neutral"
12473,"Good"
8142,"Good"
22437,"Neutral"
21750,"Bad"
18393,"Neutral"
7548,"Bad"
6935,"Neutral"
1351,"Bad"
10101,"Neutral"
12647,"Bad"
5406,"Bad"
19614,"Good"
1719,"Bad"
20067,"Bad"
19664,"Bad"
14200,"Good"
7069,"Bad"
17879,"Neutral"
10028,"Good"
23593,"Neutral"
19340,"Good"
16869,"Neutral"
1280,"Neutral"
17020,"Neutral"
4973,"Good"
3751,"Neutral"
6101,"Bad"
230,"Good"
10363,"Neutral"
15214,"Good"
7682,"Neutral"
6225,"Good"
8652,"Neutral"
19710,"Bad"
996,"Neutral"
2078,"Good"
6986,"Neutral"
8879,"Bad"
20803,"Bad"
8627,"Bad"
3280,"Bad"
22796,"Good"
8752,"Good"
5594,"Bad"
11676,"Bad"
7785,"Neutral"
8642,"Good"
3658,"Good"
5898,"Good"
23458,"Neutral"
14602,"Bad"
6009,"Bad"
10866,"Good"
20393,"Neutral"
20434,"Neutral"
16056,"Neutral"
17838,"Bad"
13946,"Neutral"
5202,"Neutral"
9419,"Neutral"
2372,"Bad"
11795,"Neutral"
7431,"Good"
18400,"Neutral"
17963,"Bad"
23232,"Bad"
12659,"Good"
19547,"Bad"
1486,"Neutral"
16918,"Bad"
20681,"Neutral"
10357,"Neutral"
23700,"Good"
12421,"Bad"
24482,"Neutral"
19448,"Neutral"
9784,"Bad"
11225,"Bad"
1670,"Bad"
15264,"Neutral"
19397,"Neutral"
2507,"Bad"
19637,"Good"
23329,"Good"
17016,"Neutral"
3588,"Neutral"
18967,"Neutral"
5737,"Neutral"
25336,"Bad"
1631,"Bad"
3100,"Neutral"
7315,"Good"
8921,"Neutral"
17916,"Bad"
17595,"Good"
23910,"Good"
8729,"Neutral"
9579,"Neutral"
11447,"Bad"
24356,"Good"
6487,"Bad"
2798,"Neutral"
7595,"Good"
11308,"Bad"
23091,"Neutral"
18330,"Neutral"
19218,"Good"
1971,"Bad"
17249,"Bad"
17279,"Good"
19583,"Neutral"
6400,"Bad"
6446,"Neutral"
18927,"Neutral"
12941,"Neutral"
94,"Neutral"
10628,"Good"
18156,"Bad"
6447,"Bad"
19533,"Neutral"
9193,"Bad"
7309,"Good"
7914,"Neutral"
16969,"Good"
22575,"Bad"
586,"Neutral"
7658,"Neutral"
23892,"Bad"
9656,"Bad"
13255,"Neutral"
20419,"Neutral"
21441,"Bad"
12415,"Neutral"
16820,"Neutral"
7222,"Neutral"
4697,"Bad"
22088,"Neutral"
7906,"Good"
24425,"Neutral"
13792,"Good"
23666,"Bad"
15146,"Bad"
912,"Bad"
421,"Neutral"
2521,"Neutral"
8473,"Bad"
22683,"Bad"
22606,"Bad"
2534,"Neutral"
272,"Bad"
24278,"Good"
15727,"Neutral"
4860,"Bad"
19904,"Neutral"
7874,"Neutral"
13815,"Neutral"
4628,"Neutral"
6136,"Neutral"
2495,"Neutral"
20710,"Bad"
11265,"Good"
22807,"Neutral"
2777,"Good"
5524,"Neutral"
3212,"Bad"
8241,"Good"
2483,"Neutral"
21928,"Good"
16140,"Neutral"
7469,"Neutral"
13820,"Bad"
9245,"Good"
1954,"Neutral"
6251,"Neutral"
17458,"Neutral"
181,"Neutral"
660,"Bad"
5768,"Bad"
4597,"Good"
16251,"Neutral"
8720,"Neutral"
12811,"Good"
6257,"Bad"
4264,"Neutral"
7585,"Neutral"
9779,"Bad"
17580,"Neutral"
15484,"Bad"
25355,"Good"
8147,"Neutral"
9038,"Neutral"
10179,"Bad"
7741,"Good"
12851,"Bad"
23305,"Neutral"
9932,"Neutral"
3702,"Bad"
4338,"Bad"
10299,"Good"
2160,"Neutral"
13818,"Good"
4463,"Neutral"
20261,"Neutral"
16603,"Bad"
17224,"Good"
7384,"Neutral"
13825,"Good"
20746,"Neutral"
12603,"Neutral"
3373,"Good"
23060,"Neutral"
6407,"Neutral"
5884,"Bad"
22319,"Neutral"
24501,"Neutral"
18991,"Good"
404,"Neutral"
13305,"Good"
24251,"Neutral"
1082,"Neutral"
16418,"Bad"
10456,"Good"
7419,"Bad"
25132,"Bad"
9426,"Neutral"
21464,"Bad"
20576,"Good"
23437,"Bad"
18213,"Neutral"
16568,"Bad"
11012,"Bad"
21145,"Neutral"
11183,"Bad"
7390,"Neutral"
6444,"Bad"
1201,"Bad"
12151,"Bad"
14308,"Neutral"
16272,"Neutral"
1745,"Good"
5809,"Bad"
18604,"Neutral"
21986,"Bad"
9486,"Neutral"
11219,"Bad"
5824,"Neutral"
11114,"Bad"
4051,"Neutral"
24364,"Bad"
23691,"Neutral"
10517,"Neutral"
12327,"Good"
18639,"Neutral"
20346,"Neutral"
13904,"Good"
17509,"Neutral"
9493,"Good"
24390,"Neutral"
2036,"Neutral"
5418,"Neutral"
4575,"Neutral"
15208,"Neutral"
3414,"Bad"
17540,"Neutral"
9860,"Neutral"
10840,"Neutral"
9294,"Bad"
22791,"Neutral"
11551,"Neutral"
1848,"Good"
17380,"Neutral"
